,updated_day,ticker,id,title_positive,title_negative,title_compound_sentiment,teaser_positive,teaser_negative,teaser_compound_sentiment,body_positive,body_negative,body_compound_sentiment,value,all_compound_sentiment
68,2020-04-22,ATIF,15856445,21.2,12.6,31.82,0.0,6.8,-22.63,11.4,2.5,99.68,-8.2051282051282,36.29
69,2020-04-27,OBCI,15887459,10.0,0.0,25.0,7.7,0.0,25.0,7.4,2.7,96.65,-20.35928143712574,48.88333333333333
70,2020-04-29,PMD,15909705,23.1,0.0,38.18,0.0,11.9,-63.69,12.1,2.7,99.59,-5.250000000000007,24.69333333333334
71,2020-05-04,SPR,15946794,23.5,0.0,50.95,30.1,0.0,80.16,20.5,1.9,99.93,49.09574468085107,77.01333333333334
72,2020-05-06,CI,15969613,9.1,0.0,7.62,20.9,0.0,70.03,18.7,3.1,99.9,13.736562058855458,59.18333333333334
73,2020-05-06,LDOS,15967568,22.3,19.8,7.72,7.3,6.5,7.72,10.1,3.0,97.98,5.6485355648535585,37.806666666666665
74,2020-05-06,SVA,15967660,15.25,0.0,34.54,9.6,0.0,34.54,4.45,2.85,49.025,0.0,39.36833333333333
75,2020-05-07,NC,15981061,19.4,0.0,62.49,15.7,0.0,62.49,11.0,3.0,99.69,1.8275862068965556,74.89
76,2020-05-07,VUZI,15981467,14.4,0.0,40.19,11.9,0.0,40.19,13.5,0.4,99.85,-10.94890510948906,60.07666666666666
77,2020-05-08,VUZI,15992448,42.6,0.0,63.69,11.4,0.0,40.19,13.0,1.0,99.71,-14.338235294117652,67.86333333333333
78,2020-05-11,AMRC,16000264,14.7,0.0,28.46,21.25,0.0,63.61,17.75,0.3,99.745,16.684155299055615,63.93833333333333
79,2020-05-12,ISR,16015088,13.7,0.0,40.19,9.4,0.0,42.15,13.5,3.6,99.63,-20.83770855209427,60.656666666666666
80,2020-05-12,PLAY,16009873,18.9,0.0,42.15,16.7,0.0,68.08,13.0,1.9,99.77,57.99136069114472,70.0
81,2020-05-14,INFO,16033327,39.7,0.0,78.45,9.1,0.0,40.19,14.2,2.7,99.73,5.724158653846157,72.79
82,2020-05-15,GLYC,16045480,12.6,0.0,38.18,7.3,13.4,-45.88,13.5,8.3,99.72,-0.3154574132492046,30.673333333333336
83,2020-05-15,MORN,16043313,21.6,0.0,29.6,24.8,0.0,76.5,13.2,4.0,98.33,2.053646269907794,68.14333333333333
84,2020-05-15,SNDL,16042934,28.6,0.0,49.39,28.6,0.0,84.02,10.1,6.8,96.61,65.57377049180329,76.67333333333333
85,2020-05-18,AEGN,16057205,16.2,0.0,40.19,6.8,0.0,27.32,6.3,2.6,86.6,12.613981762917934,51.37
86,2020-05-18,APD,16034678,15.3,0.0,40.19,7.2,0.0,40.19,15.9,1.0,99.86,0.6016184383341048,60.080000000000005
87,2020-05-18,BSGM,16054646,26.5,0.0,74.3,7.8,0.0,42.15,7.6,2.9,99.33,1.5108593012275744,71.92666666666666
88,2020-05-18,CDNS,16056137,8.5,0.0,10.27,9.4,0.0,45.88,14.0,1.3,99.71,8.930243445692879,51.953333333333326
89,2020-05-18,ED,16056228,29.7,0.0,42.15,28.7,4.0,83.6,14.4,4.4,99.58,6.221783295711077,75.11
90,2020-05-18,HRTX,16054992,5.7,17.0,-49.39,24.5,0.0,67.05,7.8,5.1,70.09,25.031525851197976,29.25
